learning_rate,reg_lambda,num_epochs,train_acc,test_acc,final_loss
0.001,0.0,50,0.5382684525146489,0.5396157422730783,1.5769331211537991
0.001,0.0,100,0.6216421762756479,0.622803284631267,1.5678605159010663
0.001,0.0,200,0.5645872492345522,0.5657005059340867,1.5342326891920626
0.001,1e-05,50,0.4218849128945948,0.42348732012545903,1.589369749251936
0.001,1e-05,100,0.6063411001170337,0.6062067552445348,1.5586117645314714
0.001,1e-05,200,0.622138682996221,0.6232761202263306,1.5240884122811582
0.001,0.0001,50,0.4804648248631651,0.48128359102873264,1.5825769106189518
0.001,0.0001,100,0.5687484484164982,0.5698772203571485,1.5613780739430732
0.001,0.0001,200,0.6281519310564954,0.6280359985499708,1.5186712549667416
0.001,0.001,50,0.410804143860852,0.41018487871766984,1.5882534013633738
0.001,0.001,100,0.5500939816292514,0.5477957980676785,1.5716177720140065
0.001,0.001,200,0.6076375343318635,0.6080350528787807,1.529512215395499
0.001,0.01,50,0.5000689592667462,0.4975491354989204,1.579374502307975
0.001,0.01,100,0.5133091384820292,0.5124592179299258,1.5619583730966675
0.001,0.01,200,0.5939481347503478,0.593613567229341,1.5176413308947465
0.01,0.0,50,0.6382121029423934,0.6378867401137958,1.4052703181572452
0.01,0.0,100,0.6437721901069066,0.6440493640361247,1.275074569296191
0.01,0.0,200,0.6448361330795632,0.6441439311551374,1.114852115513168
0.01,1e-05,50,0.6306344646593609,0.6295333112676722,1.406813273415717
0.01,1e-05,100,0.6436933795163394,0.6432455435245166,1.2680998041223557
0.01,1e-05,200,0.6460419351152408,0.6453575425158006,1.1153900147695819
0.01,0.0001,50,0.629854239812746,0.6305577883903101,1.4060640597182195
0.01,0.0001,100,0.6446194039555035,0.6440808864091289,1.2732163481870868
0.01,0.0001,200,0.6448164304319215,0.6444433936986776,1.1139572337217911
0.01,0.001,50,0.6387204312515515,0.6391949185934717,1.4010518723704097
0.01,0.001,100,0.638681025956268,0.6379970684193106,1.2692433052468026
0.01,0.001,200,0.6461089241172229,0.6453102589562942,1.1142612930391662
0.01,0.01,50,0.6397095041631694,0.6389427396094378,1.4056302605200002
0.01,0.01,100,0.6363797567117069,0.6371144419751918,1.2737251360283777
0.01,0.01,200,0.6452223049733423,0.6441439311551374,1.120091761763491
0.05,0.0,50,0.6480279619975332,0.6472173625230507,1.0668606512837164
0.05,0.0,100,0.6536156328687449,0.6520718079657036,0.9429233941760854
0.05,0.0,200,0.6661938031232637,0.6652954434409822,0.8553459551735735
0.05,1e-05,50,0.6475590389836586,0.6463504972654341,1.0666258752840694
0.05,1e-05,100,0.6537338487545956,0.6521506138982143,0.9427943409861526
0.05,1e-05,200,0.6661898625937354,0.6655003388655097,0.8553406050429558
0.05,0.0001,50,0.6461207457058079,0.6456412438728387,1.0652089147079422
0.05,0.0001,100,0.6537141461069539,0.6516462559301465,0.9425391285873062
0.05,0.0001,200,0.6661583383575085,0.6649802197109398,0.8554874303362341
0.05,0.001,50,0.647409298861581,0.6468075716739956,1.0664785026064871
0.05,0.001,100,0.6535683465144047,0.6519614796601888,0.9437485564320284
0.05,0.001,200,0.6662804947728875,0.6653269658139864,0.8566504692012031
0.05,0.01,50,0.6469127921410079,0.6455781991268302,1.0732054645642533
0.05,0.01,100,0.6533358552722315,0.6515044052516273,0.9539138906486522
0.05,0.01,200,0.664479672778428,0.6637035636042681,0.87392915862421
0.1,0.0,50,0.6534658927466673,0.6517093006761548,0.9425665166311286
0.1,0.0,100,0.6663671864225115,0.6654372941195014,0.8547359068595779
0.1,0.0,200,0.6852620255109881,0.6843664791085473,0.7921439998959113
0.1,1e-05,50,0.6537535514022375,0.6519141961006825,0.9418496583354874
0.1,1e-05,100,0.6659179660562786,0.6648541302189229,0.8554550483481316
0.1,1e-05,200,0.68528172815863,0.6840985389380112,0.7919905017614682
0.1,0.0001,50,0.6537141461069539,0.6519614796601888,0.9414759424405147
0.1,0.0001,100,0.666197743652792,0.6654215329329992,0.8553336520968515
0.1,0.0001,200,0.6851438096251374,0.6840827777515092,0.7925957302714294
0.1,0.001,50,0.6536353355163866,0.6518038677951676,0.9423155467402369
0.1,0.001,100,0.6660795277669413,0.6649329361514335,0.8567372855755072
0.1,0.001,200,0.6849822479144747,0.6838305987674752,0.7948935702560777
0.1,0.01,50,0.6532767473293061,0.6514413605056188,0.9534536113283344
0.1,0.01,100,0.6646372939595623,0.6635932352987532,0.8737129623320421
0.1,0.01,200,0.6812308638034779,0.6795908395984049,0.8211556940829561
